layer,score
0,4.687319278717041
1,4.910216808319092
2,7.09809684753418
3,6.222249507904053
4,6.092825412750244
5,6.073651313781738
6,6.024010181427002
7,5.985256671905518
8,5.9470415115356445
9,5.930007457733154
10,5.901804447174072
11,5.86025333404541
12,5.7878804206848145
13,5.750492572784424
14,5.648726463317871
15,5.543959140777588
16,5.426380634307861
17,5.288712501525879
18,5.177436351776123
19,5.079351902008057
20,4.9645185470581055
21,4.818399429321289
22,4.7406110763549805
23,4.6511383056640625
24,4.5581464767456055
25,4.465546131134033
26,4.404566764831543
27,4.306218147277832
28,4.336769104003906
29,4.40781307220459
30,4.418844223022461
31,6.318051815032959
32,6.0708723068237305
33,6.030450344085693
34,6.293593406677246
35,6.083244800567627
36,4.413901329040527
